Datum Zeit; Annaberg-Buchholz PM10; Bautzen PM10; Borna PM10; Brockau PM10
; µg/m³; µg/m³; µg/m³; µg/m³
31-05-16; 4; 18; 9; 6
30-05-16; 5; 47; 10; 11
29-05-16; 14; 25; 23; 18
28-05-16; 13; 18; 15; 17
27-05-16; 15; 42; 24; 25
26-05-16; 9; 28; 19; 23
25-05-16; 5; 28; 20; 21
24-05-16; 2; 22; 16; 10
23-05-16; 7; 18; 11; 9
22-05-16; 9; 20; 15; 12
21-05-16; 8; 21; 13; 9
20-05-16; 7; 21; 11; 10
19-05-16; 11; 24; 15; 12
18-05-16; 10; 24; 13; 11
17-05-16; 8; 19; 11; 10
16-05-16; 5; 8; 5; 6
15-05-16; 5; 8; 6; 5
14-05-16; 12; 18; 15; 12
13-05-16; 13; 21; 18; 13
12-05-16; 11; 24; 16; 21
11-05-16; 12; 28; 19; 16
10-05-16; 11; 24; 16; 13
09-05-16; 8; 20; 12; 12
08-05-16; 8; 14; 11; 13
07-05-16; 13; 21; 18; 14
06-05-16; 12; 21; 21; 14
05-05-16; 10; 18; 14; 14
04-05-16; 8; 17; 13; 13
03-05-16; 11; 23; 16; 13
02-05-16; 15; 26; 21; 13
01-05-16; 30; 50; 48; 24
30-04-16; 16; 27; 22; 19
29-04-16; 8; 23; 11; 8
28-04-16; 5; 18; 8; 7
27-04-16; 5; 15; 7; 6
26-04-16; 3; 9; 4; 4
25-04-16; 4; 14; 7; 6
24-04-16; 5; 9; 6; 5
23-04-16; 10; 20; 17; 12
22-04-16; 15; 28; 18; 12
21-04-16; 13; 34; 24; 25
20-04-16; 9; 22; 16; 14
19-04-16; 11; 23; 17; 17
18-04-16; 7; 25; 14; 11
17-04-16; 2; 14; 12; 9
16-04-16; 3; 11; 6; 5
15-04-16; 10; 26; 14; 12
14-04-16; 13; 33; 26; 28
13-04-16; 6; 24; 14; 20
12-04-16; 15; 38; 25; 29
11-04-16; 11; 29; 27; 21
10-04-16; 12; 19; 17; 15
09-04-16; 15; 25; 19; 16
08-04-16; 8; 25; 13; 9
07-04-16; 5; 19; 8; 6
06-04-16; 7; 22; 10; 11
05-04-16; 19; 49; 33; 40
04-04-16; 16; 57; 38; 38
03-04-16; 16; n. def.; 21; 20
02-04-16; 11; n. def.; 15; 17
01-04-16; 5; n. def.; 11; 10
31-03-16; 6; n. def.; 12; 11
30-03-16; 4; n. def.; 7; 5
29-03-16; 3; n. def.; 8; 5
28-03-16; 4; n. def.; 4; 4
27-03-16; 6; n. def.; 9; 11
26-03-16; 4; n. def.; 14; 14
25-03-16; 11; n. def.; 17; 24
24-03-16; 11; n. def.; 25; 23
23-03-16; 9; n. def.; 19; 14
22-03-16; 7; n. def.; 14; 12
21-03-16; 4; n. def.; 9; 9
20-03-16; 8; n. def.; 9; 8
19-03-16; 8; n. def.; 19; 12
18-03-16; 30; n. def.; 45; 33
17-03-16; 19; n. def.; 34; 30
